words,Class
"['restaur', 'entre', 'com', 'sol', 'beb', 'mojit', 'buen', 'ademas', 'car', 'pequeñ', 'com', 'buen', 'dud', 'excelent', 'sol', 'lug', 'turist', 'particul']",3
"['esper', 'line', 'hor', 'recomend', 'dueñ', 'cas', 'conductor', 'taxi', 'lin', 'desorganiz', 'larg', 'ningun', 'pris', 'mov', 'larg', 'esper', 'hor', 'afuer', 'dia', 'calient', 'calient', 'desorganiz', 'com', 'lleg', 'lent', 'porcion', 'grand', 'cuent', 'ambos', 'lad', 'embarg', 'preci', 'bastant', 'car', 'sabor', 'normal', 'decepcion', 'enormemas']",2
"['buen', 'lug', 'conoc', 'abril', 'arregl', 'pud', 'ingres', 'sol', 'pud', 'verl', 'afuer', 'zon', 'haban', 'viej', 'si', 'zon', 'podes', 'pas', 'tom', 'fot', 'ahi', 'mism', 'vari', 'part', 'haban', 'aut', 'antigu', 'arregl', 'dueñ', 'ofrec', 'sacart', 'fot', 'recuerd', 'valor', 'lind', 'hac', 'si', 'queres', 'ten', 'recuerd', 'aut', 'tipic', 'pais']",4
"['buen', 'atencion', 'eficient', 'rap', 'personal', 'amabl', 'respetu', 'vist', 'lug', 'mejor', 'com', 'buen']",5
"['sneid', 'amabl', 'com', 'espectacul', 'excelent', 'siti', 'viv', 'maxim', 'viv', 'arrepent']",5
"['situ', 'corazon', 'haban', 'veij', 'haban', 'viej', 'popul', 'lug', 'com', 'beb', 'hiz', 'famos', 'graci', 'ernest', 'hemingway', 'escritor', 'com', 'aqu', 'mediocr', 'esper', 'obten', 'mes', 'period', 'ocup', 'pued', 'disfrut', 'mojit', 'escuch', 'band', 'bar', 'mientr', 'esper', 'sugier', 'visit', 'principal', 'siti', 'viej', 'haban', 'par', 'aqu', 'tom', 'beb', 'almuerzomas']",3
"['com', 'excelent', 'comod', 'perfect', 'dud', 'volv', 'servici', 'lent', 'principi', 'lueg', 'establec', 'hiz', 'buen', 'experient', 'nuev', 'vallart']",4
"['bien', 'luc', 'discret', 'atencion', 'com', 'ok', 'dulc', 'ok', 'mas', 'rap', 'algun', 'traguit']",3
"['hij', 'yern', 'mes', 'edad', 'si', 'alli', 'sol', 'ido', 'hotel', 'probabl', 'sab', 'complej', 'multipropied', 'hij', 'usand', 'tiemp', 'ley', 'padr', 'compart', 'niñ', 'nunc', 'problem', 'cualqu', 'resorts', 'mar', 'normal', 'inclu', 'si', 'complej', 'ensueñoest', 'mayor', 'clas', 'normal', 'alquil', 'luj', 'apartament', 'cas', 'traves', 'vrbo', 'asi', 'pens', 'cos', 'buen', 'primer', 'transport', 'dispon', 'tard', 'hor', 'pens', 'caus', 'final', 'consegu', 'loc', 'dij', 'tom', 'taxi', 'proxim', 'import', 'viaj', 'siempr', 'beb', 'man', 'tan', 'pront', 'lleg', 'despues', 'registr', 'tiemp', 'compart', 'mujer', 'moment', 'mar', 'encontr', 'bar', 'orden', 'lleg', 'vas', 'plastic', 'nunc', 'vist', 'tant', 'vas', 'plastic', 'complej', 'alta', 'categor', 'desperdici', 'barat', 'sensacion', 'entiend', 'piscin', 'bar', 'complej', 'compart', 'tiemp', 'problem', 'complej', 'siqu', 'dej', 'ir', 'habit', 'instal', 'escuch', 'habl', 'hotel', 'instal', 'dan', 'ser', 'miembr', 'asist', 'reunion', 'tiemp', 'compart', 'dieron', 'tarjet', 'descuent', 'sol', 'consegu', 'si', 'reunion', 'minut', 'quier', 'cuid', 'niñ', 'dijeron', 'miembr', 'neces', 'tiemp', 'compart', 'nunc', 'dieron', 'descuent', 'ir', 'reserv', 'habit', 'separ', 'reserv', 'asi', 'miembr', 'dieron', 'penaliz', 'asist', 'sent', 'acos', 'cad', 'mañan', 'vio', 'ven', 'piscin', 'llam', 'habit', 'vay', 'lueg', 'noch', 'niñ', 'sal', 'cen', 'final', 'dij', 'trat', 'mal', 'segund', 'dia', 'acos', 'chic', 'persigu', 'gent', 'ascensor', 'quier', 'escuch', 'dic', 'ir', 'lej', 'vacacion', 'final', 'lleg', 'ascensor', 'dij', 'nunc', 'tan', 'mal', 'aqu', 'pregunt', 'quer', 'ir', 'dij', 'internet', 'gratis', 'maner', 'hac', 'pregunt', 'caus', 'dolar', 'disposit', 'internet', 'seman', 'pag', 'mes', 'import', 'aloj', 'islas', 'inclus', 'pequeñ', 'cas', 'internet', 'gratis', 'person', 'trabaj', 'vacacion', 'asi', 'final', 'cost', 'internet', 'ridicul', 'preci', 'habit', 'monton', 'diner', 'ten', 'internet', 'gratis', 'com', 'realment', 'sol', 'restaur', 'dos', 'lad', 'compart', 'odi', 'id', 'alli', 'tempor', 'alta', 'com', 'llen', 'com', 'complej', 'mayor', 'ciud', 'play', 'cocin', 'habit', 'ningun', 'problem', 'estomacal', 'nunc', 'unic', 'vez', 'algun', 'enferm', 'vec', 'com', 'complej', 'menu', 'bar', 'piscin', 'niñ', 'com', 'diari', 'problem', 'car', 'com', 'alli', 'compar', 'ciud', 'noch', 'gran', 'festival', 'com', 'nunc', 'lleg', 'personal', 'limpiez', 'dia', 'cos', 'gust', 'gent', 'toc', 'cos', 'person', 'bastant', 'limpi', 'orden', 'hac', 'servici', 'habit', 'bien', 'mov', 'alrededor', 'habit', 'bañ', 'muev', 'contador', 'pon', 'cos', 'toall', 'propi', 'cos', 'germen', 'pus', 'pon', 'cos', 'mov', 'cordon', 'orden', 'escritori', 'distanci', 'papel', 'trabaj', 'entonc', 'rop', 'pleg', 'colg', 'quer', 'pon', 'nuev', 'toqu', 'puebl', 'pertenent', 'pros', 'personal', 'servici', 'educ', 'poc', 'vec', 'iban', 'habl', 'usted', 'ah', 'propin', 'pon', 'automat', 'cuent', 'dar', 'propin', 'jardin', 'meticul', 'limpi', 'complej', 'pequeñ', 'nuev', 'quis', 'alli', 'tempor', 'alta', 'piscin', 'bonit', 'nuev', 'llen', 'asi', 'nadi', 'nunc', 'cerc', 'gent', 'anim', 'amabl', 'habl', 'menud', 'jug', 'niet', 'general', 'si', 'empres', 'dej', 'complej', 'siti', 'estrell', 'complej', 'tiemp', 'compart', 'esper', 'especial', 'pag', 'seman', 'inclu', 'pag', 'dos', 'seman', 'vacacion', 'apartament', 'alquil', 'hij', 'ley', 'padr', 'trat', 'tiemp', 'compart', 'com', 'niñ', 'trat', 'impresion']",2
"['sub', 'cerr', 'desafi', 'si', 'decid', 'hac', 'camin', 'si', 'tiemp', 'dispon', 'excelent', 'pase', 'requier', 'form', 'cualqui', 'person', 'pued', 'sub', 'mayor', 'menor', 'tiemp', 'recorr', 'goz', 'contact', 'viv', 'naturalez', 'excelent', 'vist', 'ciud', 'vez', 'arrib', 'pued', 'camin', 'entrar', 'iglesi', 'compr', 'artesan', 'pasaj', 'comercial', 'degust', 'exquisit', 'com', 'tipic', 'plaz', 'aliment', 'si', 'gust', 'pued', 'com', 'ric', 'dos', 'restaur', 'mantel', 'cim', 'cerr', 'baj', 'si', 'oblig', 'telefer', 'lind', 'vist', 'form', 'rap', 'baj', 'turist', 'lind', 'altern', 'hac', 'plan', 'bogot', 'baj', 'cerr', 'visit', 'candelari', 'quint', 'simon', 'boliv']",3
"['prefer', 'buen', 'trat', 'com', 'delici', 'cocin', 'local', 'crioll', 'contemporane', 'trat', 'palad', 'preci', 'mas', 'bien', 'casi', 'europe', 'compens', 'calid', 'com']",5
"['habit', 'grand', 'buen', 'lug', 'descans', 'siti', 'suficient', 'sent', 'bien', 'piscin', 'desayun', 'buen', 'emprend', 'dia', 'bien', 'comunic', 'centr', 'preci', 'exces', 'comod']",4
"['atencion', 'emple', 'hotel', 'servici', 'excelent', 'moment', 'sal', 'termin', 'hor', 'sal', 'restring', 'visit', 'deberi', 'ser', 'diferent', 'hor', 'sal', 'deb', 'esper', 'ten', 'program', 'vuel', 'sal', 'pued', 'consum', 'gaseos', 'preci', 'exager']",4
"['com', 'bastant', 'estand', 'buen', 'lug', 'descans', 'aperit', 'extravag', 'much', 'mader', 'oscur', 'objet', 'bar', 'tap', 'hac', 'agujer', 'beb', 'restaur', 'apropi']",3
"['centr', 'histor', 'hermos', 'varied', 'restaur', 'bar', 'cafes', 'ideal', 'compart', 'parej', 'famili', 'amig']",4
"['com', 'lament', 'tropicaliz', 'visit', 'sazon', 'fuert', 'liger', 'ped', 'agu', 'chay', 'limon', 'sabi', 'preci', 'acces', 'gust', 'señor', 'hac', 'tortill']",3
"['hotel', 'much', 'critic', 'negat', 'despues', 'alli', 'cuatr', 'dias', 'se', 'habit', 'suci', 'menud', 'agu', 'calient', 'salv', 'hotel', 'except', 'desayun', 'tip', 'buffet', 'bien', 'ubic', 'viej', 'haban', 'excelent', 'hotel', 'quizas', 'peor', 'lug', 'espos', 'aloj']",1
"['seri', 'hor', 'ambient', 'agrad', 'estanci', 'reserv', 'jardin', 'hiz', 'siti', 'comun']",3
"['lug', 'pod', 'dej', 'visit', 'si', 'vas', 'havan', 'local', 'une', 'histori', 'music', 'buen', 'trag']",3
"['maravill', 'brind', 'muestr', 'medr', 'naturalez', 'unic', 'asi', 'aprovech', 'maxim', 'primordial', 'sent', 'relaj', 'content', 'contact', 'naturalez', 'disfrut', 'cultur', 'tradicion']",4
"['botonesguardi', 'alt', 'discriminatori', 'cad', 'sal', 'entrad', 'hotel', 'ped', 'dej', 'revis', 'mochil', 'ultim', 'noch', 'siend', 'tres', 'huesped', 'dej', 'acces', 'registr', 'hosped', 'vez', 'intervin', 'sol', 'brind', 'usted', 'disculp']",1
"['ambient', 'genial', 'recorr', 'gran', 'problem', 'tip', 'pasaj', 'servici', 'espectacul', 'dieron', 'com', 'bastant', 'rap', 'beb', 'preci', 'razon', 'cuc', 'entrad', 'van', 'aperit', 'bien', 'preci', 'dieron', 'poll', 'curry', 'espectacul', 'pizc', 'com', 'indi', 'cocin', 'perfect', 'sugier', 'plat', 'acompañ', 'arroz', 'dich', 'dan', 'inyeccion', 'años', 'ron', 'pur', 'sal', 'bastant', 'guaymas']",5
"['mal', 'car', 'practic', 'casi', 'desastr', 'experient', 'desinform', 'sesg', 'total']",1
"['buen', 'lipi', 'bonit', 'buen', 'ubic', 'mal', 'ruidos', 'esuch', 'pasill', 'restaurant', 'mu', 'chiqu', 'are', 'comun', 'pued', 'personal', 'atent', 'olvidais', 'falt', 'detall', 'atencion']",3
"['general', 'servici', 'buen', 'limpi', 'almoh', 'riquisim', 'ubic', 'excelent', 'dej', 'olvid', 'zapat', 'dan', 'respuest', 'parec', 'encontr', 'impos', 'ojal', 'gan', 'honradez', 'recuper', 'simpl', 'zapat', 'crocs', 'deb', 'llev', 'objet', 'olvid', 'sig', 'esper', 'respuest', 'ama', 'llav', 'esper', 'pront', 'dec', 'trabaj', 'gent', 'honr', 'lug', 'opinion', 'segur', 'excelent']",3
"['verd', 'atencion', 'mal', 'especial', 'pool', 'concierg', 'arregl', 'regal', 'trag', 'hermos', 'lug', 'bell', 'check', 'out', 'check', 'in', 'tard', 'cuart', 'quej', 'tampoc', 'gym', 'restaur', 'si', 'detall', 'pul', 'seccion', 'cerr', 'cual', 'pued', 'pas', 'much', 'vec', 'personal', 'pierd', 'pued', 'orient', 'personal', 'sol', 'cre', 'hac', 'falt', 'capacit', 'personal']",3
"['zon', 'camin', 'deleit', 'arquitectur', 'muse', 'gran', 'libr', 'fond', 'cultur', 'mejic', 'ademas', 'realiz', 'exposicion', 'artist', 'present', 'grand', 'autor']",4
"['hotel', 'llen', 'histori', 'fidel', 'castr', 'aloj', 'revolu', 'bien', 'situ', 'vist', 'ciud', 'buen', 'habit', 'espaci', 'si', 'reflej', 'cinc', 'estrell', 'instal', 'estan', 'viej', 'falt', 'manten', 'limpiez', 'deficient', 'hotel', 'histor', 'nacional', 've', 'ventan', 'simbol', 'capital', 'misams', 'estrell', 'muchisim', 'mejor', 'conserv', 'sol', 'wifi', 'recepcion', 'pag', 'hor', 'com', 'restaur', 'correct', 'gran', 'piscin', 'poc', 'limpiez', 'zon', 'hamac']",3
"['experient', 'demasi', 'aqu', 'com', 'buen', 'servici', 'terribl', 'camarer', 'traj', 'beb', 'intent', 'cobr', 'cortes', 'dij', 'quer', 'orden', 'ped', 'virg', 'piñ', 'col', 'medi', 'dia', 'quer', 'alcohol', 'personal', 'traj', 'enorm', 'jarr', 'ron', 'intent', 'cobr', 'com', 'extrem', 'car', 'tramp', 'turist', 'dud', 'evit', 'lugarmas']",2
"['papas', 'marz', 'lueg', 'hab', 'seman', 'varader', 'lleg', 'aqu', 'sent', 'tan', 'comod', 'atencion', 'distant', 'hotel', 'grand', 'bien', 'ubic', 'habit', 'ampli', 'comod', 'vist', 'increibl', 'pasill', 'pis', 'olor', 'feo', 'se', 'si', 'sid', 'particul', 'moment']",3
"['llev', 'pagais', 'com', 'intoler', 'tiemp', 'hoy', 'recomend', 'nadi']",1
"['recomend', 'gui', 'result', 'ser', 'siti', 'comedor', 'cerc', 'hac', 'reserv', 'dan', 'mism', 'dia', 'poc', 'restaur', 'zon', 'persistent', 'ambul', 'esquin', 'pes', 'fluj', 'constant', 'gent', 'hac', 'fil', 'entrar', 'reserv', 'com', 'buen', 'beb', 'inclus', 'mejor', 'recom', 'mojit', 'hous', 'parec', 'verd', 'gust', 'slushy', 'mejor', 'estand', 'hech', 'mojitomas']",4
"['despu', 'ver', 'uxmal', 'encontrart', 'ruin', 'pequeñ', 'olvid', 'trist', 'gui', 'expliqu', 'pas', 'ahi']",3
"['encant', 'hotel', 'frent', 'play', 'buen', 'servici', 'habit', 'limpi', 'desayun', 'vari', 'jug', 'natural', 'buen', 'detall', 'recomend', 'vacacion', 'familiar', 'escap', 'romant', 'volveri', 'segur']",5
"['vergüenz', 'imagin', 'hotel', 'tiemp', 'gran', 'lug', 'aloj', 'ahor', 'simplement', 'terribl', 'personal', 'general', 'desagrad', 'punt', 'ser', 'descortes', 'excepcion', 'pequeñ', 'minor', 'habit', 'espant', 'habit', 'dieron', 'plant', 'suci', 'caj', 'fuert', 'funcion', 'cambi', 'habit', 'mism', 'pis', 'igual', 'suci', 'elev', 'humed', 'puert', 'bañ', 'cerr', 'interruptor', 'luz', 'apag', 'final', 'ofrec', 'seleccion', 'nuev', 'habit', 'decid', 'habit', 'segund', 'pis', 'tod', 'habit', 'tercer', 'plant', 'humed', 'escaler', 'suci', 'restaur', 'ofrec', 'penos', 'desplieg']",2
"['hotel', 'mision', 'garantiz', 'mism', 'confort', 'men', 'alza', 'baj', 'cualqui', 'establec', 'lament', 'compart', 'experient', 'hotel', 'terribl', 'lleg', 'habit', 'encontr', 'air', 'acondicion', 'haci', 'ruid', 'terribl', 'aguant', 'calor', 'ruid', 'muebl', 'llen', 'polv', 'pel', 'literal', 'pel', 'mes', 'noch', 'lavab', 'adem', 'encontr', 'rot', 'descuid', 'regader', 'suci', 'rendij', 'peg', 'par', 'dab', 'tub', 'rendij', 'rot', 'peor', 'agu', 'calient', 'estanci', 'internet', 'libr', 'ciert', 'punt', 'si', 'quier', 'usa', 'canal', 'netflix', 'cualqui', 'simil', 'pag', 'extra', 'tex']",1
"['lleg', 'expect', 'inclus', 'mejor', 'imagin', 'tod', 'catedral', 'obra', 'arte']",5
"['dias', 'visit', 'mayor', 'cantid', 'templ', 'vid', 'capill', 'particul', 'viv', 'muestr', 'barroc', 'impresion', 'indud', 'resum', 'impresion']",5
"['acud', 'sab', 'juli', 'mañan', 'esper', 'medi', 'hor', 'dos', 'grup', 'cuatr', 'person', 'camarer', 'dentr', 'vio', 'esper', 'capaz', 'sal', 'atend', 'dar', 'algun', 'explic', 'si', 'bar', 'abiert', 'cerr', 'marcharmas']",1
"['edifici', 'encuentr', 'perfect', 'muestr', 'tipic', 'arquitectur', 'epoc', 'olvid', 'cam']",4
